Referencia interna,OFICIAL,VENTAS,SOMOS_PEKES
134135,MLM616437636,MLM540895121,N/D
134144,N/D,MLM544522433,N/D
134145,MLM616437605,MLM540477621,N/D
134146,MLM616437631,N/D,N/D
134148,N/D,N/D,N/D
134150,MLM616437634,MLM540477635,N/D
134151,MLM616437602,N/D,N/D
134152,MLM616437616,MLM541471536,N/D
134153,MLM616437644,MLM544416593,N/D
134203,MLM616437580,MLM541247088,N/D
134209,MLM616437609,MLM540731754,N/D
134210,MLM616437633,MLM540752299,N/D
134211,MLM616437618,MLM541247123,N/D
134212,MLM616437624,MLM540731514,N/D
134214,MLM616437570,MLM540983068,N/D
134215,MLM616437639,MLM540731746,N/D
134217,MLM616437578,MLM540731782,N/D
134218,MLM616437577,MLM540731517,N/D
134220,MLM616437579,N/D,N/D
134224,MLM616437594,MLM540731661,N/D
134227,MLM616437597,MLM541247071,N/D
134229,MLM616437589,MLM541247099,N/D
134230,MLM616437614,MLM540731587,N/D
134232,MLM616437575,MLM540731506,N/D
134235,MLM616437643,N/D,N/D
134236,MLM616437595,N/D,N/D
134238,MLM616437629,MLM540731579,N/D
134242,MLM616437635,MLM540732487,N/D
134244,MLM616437587,MLM540731490,N/D
134256,MLM616437617,MLM540731476,N/D
134262,MLM616437600,MLM540731613,N/D
134263,MLM616437613,MLM540731398,N/D
134265,MLM616437593,MLM541247080,N/D
134266,MLM616437567,MLM540731478,N/D
134268,MLM616437606,MLM541247096,N/D
134269,MLM616437581,N/D,N/D
134271,MLM616437599,N/D,N/D
134272,MLM616437588,MLM541247074,N/D
134274,MLM616437604,MLM540731537,N/D
134275,MLM616437582,MLM540731774,N/D
134277,MLM616437591,MLM541247077,N/D
134278,MLM616437610,MLM540731631,N/D
134281,MLM616437574,MLM541247119,N/D
134284,MLM616437608,MLM541247104,N/D
134291,MLM616437572,MLM540731527,N/D
134294,N/D,N/D,N/D
134315,MLM616437571,MLM541247128,N/D
134321,MLM616437625,N/D,N/D
134322,N/D,N/D,N/D
134325,MLM616437645,MLM540731696,N/D
134361,MLM616437638,MLM540751525,N/D
134365,MLM616437585,N/D,N/D
134366,MLM616437646,MLM541247085,N/D
134368,MLM616437607,MLM540731480,N/D
134375,MLM616437622,N/D,N/D
134376,MLM616437628,MLM540752101,N/D
134378,MLM616437626,MLM540731510,N/D
134380,MLM616437630,MLM540731515,N/D
134385,MLM616603938,MLM540732484,N/D
134386,MLM616603936,MLM540731538,N/D
134394,MLM616437576,MLM543407738,N/D
134416,MLM616603915,MLM540731496,N/D
134417,MLM616603934,MLM545868725,N/D
134451,MLM616437590,MLM540731699,N/D
134453,MLM616437583,MLM540751017,N/D
134456,MLM616437584,MLM540888850,N/D
134464,N/D,MLM544086496,N/D
134502,MLM616437615,MLM540731513,N/D
134503,MLM616437596,MLM540731389,N/D
134509,MLM616437612,MLM540482314,N/D
134510,MLM616437640,MLM540477728,N/D
134511,MLM616437586,MLM540477756,N/D
136105,N/D,N/D,N/D
136107,N/D,N/D,N/D
136108,N/D,N/D,N/D
136110,N/D,N/D,N/D
136136,MLM616435622,MLM542152264,N/D
136137,MLM616435646,MLM542245570,N/D
136140,MLM616435640,MLM542245546,N/D
136141,N/D,MLM658743646,N/D
136144,MLM616435649,MLM541968017,N/D
136146,MLM616435660,MLM542245541,N/D
136149,MLM616435638,MLM545868369,N/D
136150,MLM616435656,MLM542085978,N/D
136160,MLM616435720,MLM542245553,N/D
136161,MLM616435643,MLM542112872,N/D
136163,MLM616435645,MLM542245539,N/D
136187,N/D,MLM539423432,N/D
136194,N/D,MLM541439251,N/D
136196,N/D,N/D,N/D
136221,N/D,MLM546698734,N/D
136244,MLM616435627,MLM541967385,N/D
136245,N/D,MLM547984379,N/D
136246,N/D,MLM540401423,N/D
136247,MLM616435628,MLM542245554,N/D
136249,MLM616435631,MLM541967355,N/D
136251,MLM616435632,MLM541967412,N/D
136254,MLM616435641,MLM541974430,N/D
136256,N/D,N/D,N/D
136269,MLM616435623,MLM541967306,N/D
136273,MLM616435719,MLM541988621,N/D
136276,MLM616435639,MLM542245557,N/D
136278,MLM616435617,MLM542207573,N/D
136281,MLM616435654,MLM541967744,N/D
136291,MLM616435651,MLM541988638,N/D
136292,MLM616435630,MLM541967351,N/D
136293,MLM616435642,MLM541967346,N/D
136318,MLM616435652,MLM541974398,N/D
136320,MLM616435634,MLM542152249,N/D
136321,MLM616435657,MLM541967343,N/D
136327,MLM616435621,MLM541967413,N/D
136329,MLM616435648,MLM541967312,N/D
136330,MLM616435629,MLM542006370,N/D
136339,MLM616435659,MLM541975624,N/D
136410,N/D,MLM549391160,N/D
136412,MLM616435663,MLM541967276,N/D
136413,N/D,MLM549391125,N/D
136415,MLM616435718,MLM541971531,N/D
136416,N/D,MLM548296110,N/D
136419,N/D,MLM541967401,N/D
137102,MLM616435626,MLM541967392,N/D
137105,N/D,N/D,N/D
137106,MLM635890536,MLM548249133,N/D
137108,MLM616435653,MLM546411417,N/D
137111,MLM635890538,MLM546423146,N/D
137113,MLM635890539,MLM548273247,N/D
137115,N/D,MLM545391692,N/D
137116,MLM635890532,MLM548253308,N/D
137117,MLM635890534,MLM548249675,N/D
137118,N/D,MLM545391799,N/D
137121,N/D,MLM549391132,N/D
137123,N/D,MLM549391142,N/D
137142,N/D,MLM548250439,N/D
